ID;Stress;Resolucao;UF;Cidade;Origem_reclamacao;Data_reclamacao;Data_primeira_interacao;Problemas;Nota;Retorno_negocio;Quantidade_interacoes;Data_criacao_ultima_interacao;tempo_espera_primeira;tempo_total_atendimento;dia_semana_reclamacao;dia_semana_primeira_interacao;dia_semana_ultima_interacao;ano_reclamacao;ano_primeira_interacao;ano_ultima_interacao;dia_reclamacao;dia_primeira_interacao;dia_ultima_interacao;mes_reclamacao;mes_primeira_interacao;mes_ultima_interacao;hora_reclamacao;hora_primeira_interacao;hora_ultima_interacao;min_reclamacao;min_primeira_interacao;min_ultima_interacao;grupo_notas
92295598;40,42690751;0;3;52;0;2019-06-10 17:44:20;2019-06-11 11:40:22;5;0;0;2;2019-06-11 16:13:50;1076,0333333333333;1349,5;0;1;1;2019;2019;2019;10;11;11;6;6;6;17;11;16;44;40;13;0
92369211;54,99960911;1;20;163;2;2019-06-12 20:11:18;2019-06-13 14:51:57;45;7;1;2;2019-06-18 12:01:02;1120,65;8149,733333333334;2;3;1;2019;2019;2019;12;13;18;6;6;6;20;14;12;11;51;1;1
92368949;52,72356162;1;20;163;1;2019-06-12 20:00:59;2019-06-14 15:40:52;30;1;0;2;2019-06-14 18:40:15;2619,883333333333;2799,266666666667;2;4;4;2019;2019;2019;12;14;14;6;6;6;20;15;18;0;40;40;0
92296646;58,4225603;0;20;95;0;2019-06-10 18:12:52;2019-06-11 12:00:19;1;8;0;2;2019-06-17 13:18:52;1067,45;9786,0;0;1;0;2019;2019;2019;10;11;17;6;6;6;18;12;13;12;0;18;2
92296711;58,72883326;1;8;9;1;2019-06-10 18:14:54;2019-06-11 09:52:28;44;6;0;2;2019-06-11 11:20:59;937,5666666666667;1026,0833333333333;0;1;1;2019;2019;2019;10;11;11;6;6;6;18;9;11;14;52;20;0
92297099;58,87563027;1;20;163;2;2019-06-10 18:27:32;2019-06-13 14:29:26;13;2;0;2;2019-06-14 18:06:37;4081,9;5739,083333333333;0;3;4;2019;2019;2019;10;13;14;6;6;6;18;14;18;27;29;6;0
92244117;35,60822517;1;20;73;1;2019-06-08 10:14:18;2019-06-10 11:19:04;15;9;1;2;2019-06-19 22:32:21;2944,766666666667;16578,05;5;0;2;2019;2019;2019;8;10;19;6;6;6;10;11;22;14;19;32;2
92411919;39,03772163;0;20;103;2;2019-06-14 09:04:00;2019-06-18 10:03:30;31;0;0;6;2019-06-26 11:35:27;5819,5;17431,45;4;1;2;2019;2019;2019;14;18;26;6;6;6;9;10;11;4;3;35;0
92343192;43,42591759;1;20;150;0;2019-06-12 07:51:53;2019-06-14 11:52:45;0;5;0;2;2019-06-17 07:00:58;3120,866666666667;7149,083333333333;2;4;0;2019;2019;2019;12;14;17;6;6;6;7;11;7;51;52;0;0
92299333;37,30191884;1;20;59;2;2019-06-10 19:38:07;2019-06-11 12:37:27;25;3;0;4;2019-06-24 21:47:21;1019,3333333333334;20289,233333333334;0;1;0;2019;2019;2019;10;11;24;6;6;6;19;12;21;38;37;47;0
92415083;41,42050557;1;20;127;1;2019-06-14 10:21:18;2019-06-17 14:22:11;35;6;1;2;2019-06-17 16:22:45;4560,883333333333;4681,45;4;0;0;2019;2019;2019;14;17;17;6;6;6;10;14;16;21;22;22;0
92300151;48,31844543;0;20;114;1;2019-06-10 20:03:04;2019-06-11 11:25:26;27;0;0;3;2019-06-14 07:53:27;922,3666666666667;5030,383333333333;0;1;4;2019;2019;2019;10;11;14;6;6;6;20;11;7;3;25;53;0
92171707;64,85070141;1;20;51;2;2019-06-05 18:12:36;2019-06-12 10:36:22;39;7;0;2;2019-06-20 12:03:07;9623,766666666666;21230,516666666666;2;2;3;2019;2019;2019;5;12;20;6;6;6;18;10;12;12;36;3;1
92172001;59,85230615;1;18;7;2;2019-06-05 17:32:17;2019-06-06 15:25:04;22;7;1;2;2019-06-06 15:39:47;1312,7833333333333;1327,5;2;3;3;2019;2019;2019;5;6;6;6;6;6;17;15;15;32;25;39;1
92174421;62,49901202;1;8;34;2;2019-06-13 10:56:31;2019-06-14 16:38:15;44;5;1;2;2019-06-23 21:08:36;1781,7333333333333;15012,083333333334;3;4;6;2019;2019;2019;13;14;23;6;6;6;10;16;21;56;38;8;0
92174863;65,84793405;0;20;163;2;2019-06-05 20:01:49;2019-06-07 09:53:55;28;0;0;4;2019-06-12 12:47:54;2272,1;9646,083333333334;2;4;2;2019;2019;2019;5;7;12;6;6;6;20;9;12;1;53;47;0
92180749;59,35062899;1;20;163;1;2019-06-06 02:03:22;2019-06-07 09:43:29;43;9;1;2;2019-07-02 18:35:33;1900,1166666666666;38432,183333333334;3;4;1;2019;2019;2019;6;7;2;6;6;7;2;9;18;3;43;35;2
92183055;60,81164288;1;20;49;2;2019-06-06 08:53:10;2019-06-07 16:50:00;20;5;1;2;2019-06-19 07:59:14;1916,8333333333333;18666,066666666666;3;4;2;2019;2019;2019;6;7;19;6;6;6;8;16;7;53;50;59;0
92183111;44,59401195;0;20;127;2;2019-06-06 08:55:05;2019-06-07 10:57:07;19;0;0;5;2019-06-22 07:52:54;1562,0333333333333;22977,816666666666;3;4;5;2019;2019;2019;6;7;22;6;6;6;8;10;7;55;57;52;0
92183301;51,61117184;1;3;90;2;2019-06-06 09:03:26;2019-06-07 16:46:59;32;10;1;2;2019-06-11 08:41:06;1903,55;7177,666666666667;3;4;1;2019;2019;2019;6;7;11;6;6;6;9;16;8;3;46;41;2
92184119;53,66914629;1;20;159;2;2019-06-06 09:29:53;2019-06-06 12:28:23;15;10;1;2;2019-06-18 10:14:44;178,5;17324,85;3;3;1;2019;2019;2019;6;6;18;6;6;6;9;12;10;29;28;14;2
92185170;37,385090399999996;1;20;163;0;2019-06-06 09:59:21;2019-06-07 10:09:29;24;0;0;2;2019-06-28 09:58:58;1450,1333333333334;31679,616666666665;3;4;4;2019;2019;2019;6;7;28;6;6;6;9;10;9;59;9;58;0
92185541;65,33071821;1;3;52;2;2019-06-06 10:09:55;2019-06-11 14:21:28;29;4;1;2;2019-06-11 14:35:04;7451,55;7465,15;3;1;1;2019;2019;2019;6;11;11;6;6;6;10;14;14;9;21;35;0
92186827;55,91989238;1;15;132;2;2019-06-06 10:41:14;2019-06-07 11:13:34;6;10;1;2;2019-06-07 21:35:14;1472,3333333333333;2094,0;3;4;4;2019;2019;2019;6;7;7;6;6;6;10;11;21;41;13;35;2
92189279;65,83275915;1;8;170;2;2019-06-06 11:36:29;2019-06-12 16:08:26;40;10;1;2;2019-06-18 19:46:37;8911,95;17770,133333333335;3;2;1;2019;2019;2019;6;12;18;6;6;6;11;16;19;36;8;46;2
92187909;62,02259059;1;2;136;2;2019-06-06 11:04:22;2019-06-07 11:27:54;35;5;0;2;2019-06-07 13:10:08;1463,5333333333333;1565,7666666666667;3;4;4;2019;2019;2019;6;7;7;6;6;6;11;11;13;4;27;10;0
92188382;66,38680946;0;8;44;0;2019-06-06 11:14:32;2019-06-11 09:48:02;12;1;0;3;2019-06-17 12:14:08;7113,5;15899,6;3;1;0;2019;2019;2019;6;11;17;6;6;6;11;9;12;14;48;14;0
92190541;69,90943905;0;1;40;2;2019-06-06 12:06:28;2019-06-10 13:00:30;17;0;0;2;2019-06-21 06:11:47;5814,033333333334;21245,316666666666;3;0;4;2019;2019;2019;6;10;21;6;6;6;12;13;6;6;0;11;0
